mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3586.5911316871643,47.754301792353296,6.455795129140218,0.3246097425375728,0.8,1,10,6,0.5,0.6,"{'subsample': 0.8, 'scale_pos_weight': 1, 'min_child_weight': 10, 'max_depth': 6, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.8774232931081576,0.8783797166693532,0.8766272019141825,0.8774767372305644,0.0007164585112145351,10
4286.08186006546,14.511375357197279,8.210585435231527,0.23558083412984032,0.8,1,5,7,5,0.6,"{'subsample': 0.8, 'scale_pos_weight': 1, 'min_child_weight': 5, 'max_depth': 7, 'gamma': 5, 'colsample_bytree': 0.6}",0.8813009770006994,0.8817295739634284,0.8801032447128971,0.8810445985590083,0.0006882509894926364,5
4436.096876303355,10.891241187638913,7.296777407328288,0.4577265327212106,1.0,0.1,10,7,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 0.1, 'min_child_weight': 10, 'max_depth': 7, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.8725137133538866,0.873527635324799,0.8717615794339103,0.872600976037532,0.0007236248726163072,21
3180.932468970617,2.9116889402755652,5.3968915939331055,0.3463076787906974,0.6,10,1,5,2,1.0,"{'subsample': 0.6, 'scale_pos_weight': 10, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 2, 'colsample_bytree': 1.0}",0.876095561626541,0.8771509343810623,0.8750750573176308,0.8761071844417447,0.0008475131121877218,11
2280.743934790293,5.311510672328445,4.749323606491089,0.020717844007312247,0.8,1,5,4,1.5,0.6,"{'subsample': 0.8, 'scale_pos_weight': 1, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.8681633680572509,0.8689211120937251,0.8670983043712999,0.8680609281740921,0.0007476752617188436,26
3322.7749384244285,6.781469435718114,5.57564647992452,0.3920827232816681,0.8,10,1,5,5,1.0,"{'subsample': 0.8, 'scale_pos_weight': 10, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 1.0}",0.87601778200416,0.8769390548277969,0.8753112218521318,0.8760893528946961,0.0006664842300933754,13
3006.6523772875466,15.072786365546587,5.424433787663777,0.03308377243078184,0.6,10,5,5,5,0.8,"{'subsample': 0.6, 'scale_pos_weight': 10, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.8}",0.8760291017950047,0.8768422974924653,0.8752408282701509,0.8760374091858737,0.0006538234609140138,14
3003.5792678197226,2.0554344805311278,5.845323244730632,0.2204382498620955,1.0,10,10,5,0.5,0.6,"{'subsample': 1.0, 'scale_pos_weight': 10, 'min_child_weight': 10, 'max_depth': 5, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.8753487906722877,0.8762254268083035,0.8748841475854854,0.8754861216886921,0.0005561188988222597,15
2411.755294005076,20.714998453368548,4.864782253901164,0.2784901639782264,0.6,10,10,4,5,1.0,"{'subsample': 0.6, 'scale_pos_weight': 10, 'min_child_weight': 10, 'max_depth': 4, 'gamma': 5, 'colsample_bytree': 1.0}",0.870770614477808,0.8719772137025928,0.8702945522536875,0.8710141268113628,0.0007081953969317871,22
2401.2591222922006,7.147855314281458,4.738009611765544,0.2716213828192961,0.6,1,1,4,1.5,1.0,"{'subsample': 0.6, 'scale_pos_weight': 1, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.8681688027321041,0.8689838907156662,0.8677434724188191,0.8682987219555298,0.0005146640595248527,25
4403.310595194499,6.315090226544077,7.756516695022583,0.27915363806328003,0.8,10,5,7,5,0.6,"{'subsample': 0.8, 'scale_pos_weight': 10, 'min_child_weight': 5, 'max_depth': 7, 'gamma': 5, 'colsample_bytree': 0.6}",0.8837828967351747,0.8846216921693292,0.8825957241848504,0.8836667710297847,0.0008311640243748306,2
3849.672144651413,11.735128297415667,6.286779165267944,0.39868010263666565,0.6,1,1,6,0.5,0.8,"{'subsample': 0.6, 'scale_pos_weight': 1, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.878592349142063,0.8788523733703426,0.8781148570156936,0.8785198598426996,0.00030542169453105084,8
2334.5751291910806,42.316616054583235,4.644222736358643,0.41318740081121186,0.6,0.1,5,4,1,1.0,"{'subsample': 0.6, 'scale_pos_weight': 0.1, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 1, 'colsample_bytree': 1.0}",0.8624996120203146,0.8635678417938271,0.8620283137766629,0.8626985891969348,0.0006440655072895382,29
3089.5384418964386,10.91928135103694,5.102795362472534,0.2721903543021455,1.0,1,5,5,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 1, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.8732954245157251,0.8735392439073872,0.8727227069449399,0.8731857917893507,0.0003422451886974942,20
2956.41197959582,5.490491034545061,4.870500644048055,0.48728068435522104,0.8,0.1,1,5,5,0.8,"{'subsample': 0.8, 'scale_pos_weight': 0.1, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.8}",0.8674819888542558,0.867863429639382,0.8664541225489057,0.8672665136808478,0.0005951799624668424,27
